OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,40.31678,-74.41626
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,40.31678,-74.41626
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,40.31678,-74.41626
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,40.31678,-74.41626
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.962723,-87.400079
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,40.71118,-78.97642
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,38.954795,-95.260629
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,25.826458,-80.121597
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,38.160232,-96.562612
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.118225,-72.539526
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.113581,-94.630146
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.129278,-101.722911
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.414026,-112.044646
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,29.913888,-81.41394
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.584252,-87.183278
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,42.097994,-75.917039
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,42.097994,-75.917039
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.369914,-81.660992
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,43.19618,-73.65178
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,43.19618,-73.65178
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.593176,-87.502724
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.961001,-95.262445
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.553325,-114.510731
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,39.61311,-84.36578
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,41.016563,-81.868423
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,40.290233,-83.031788
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,39.211107,-84.694807
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.45757,-97.620521
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.479513,-97.265703
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.53877,-82.921248
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,46.989515,6.930901
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,39.409179,-83.026579
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.125011,-84.851654
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.410496,-95.52837
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.924078,-81.392968
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.496498,-80.862668
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,39.97486,-105.157478
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,27.930099,-82.730217
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.771848,-97.551796
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.688676,-101.478377
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.53548,-99.483817
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.974864,-109.693715
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,36.08175,-84.0538
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,36.0148,-83.970819
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.040253,-104.831363
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.040253,-104.831363
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.772243,-104.810471
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,27.639032,-80.488942
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.607018,-88.657161
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.431534,-86.897166
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.363656,-89.144366
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.363656,-89.144366
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.363656,-89.144366
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.363656,-89.144366
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.858852,-92.403179
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.589885,-87.346784
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,33.494996,-111.905059
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.113154,-85.12887
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,41.113154,-85.12887
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.244597,-92.513464
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.533555,-122.395959
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.594274,-109.246355
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.203165,-119.766964
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.203165,-119.766964
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,31.20518,-85.38188
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,53.453459,-113.429531
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.132458,-102.967539
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,32.5785,-116.628444
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.560212,-74.231774
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,39.66201,-82.43349
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,39.71614,-96.999246
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,39.71614,-96.999246
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,39.71614,-96.999246
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,39.71614,-96.999246
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,39.71614,-96.999246
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,39.71614,-96.999246
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.622238,-123.092707
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,36.14284,-85.54331
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,36.0148,-83.970819
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,42.598189,-73.973582
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,42.598189,-73.973582
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,42.598189,-73.973582
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,42.598189,-73.973582
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,42.598189,-73.973582
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,42.598189,-73.973582
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.918022,-106.598
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.84234,-75.19629
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,34.798485,-86.952669
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.118113,-79.000377
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.687288,-97.338469
692,BP,US-63,Ottumwa,IA,489,3.399,41.000951,-92.403524
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.526128,-82.943154
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.390542,-104.687999
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.35975,-91.460043
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.01242,-89.897096
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,35.011806,-77.571517
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,35.011806,-77.571517
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,35.011806,-77.571517
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,33.11097,-83.61517
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.1514,-90.185285
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.1514,-90.185285
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,34.610644,-120.05879
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,32.391047,-85.668882
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.086096,-92.453883
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.60503,-112.070892
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667535,-114.217043
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667535,-114.217043
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.190128,-112.350346
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,33.639649,-112.004933
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.664685,-75.566167
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.664685,-75.566167
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.188826,-82.637793
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.188826,-82.637793
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,30.188826,-82.637793
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.776319,-85.234411
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.53877,-82.921248
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,32.53877,-82.921248
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.466053,-82.501796
